"","Gene 1","Gene 2","T-value"
"94","ENSG00000114268","ENSG00000141526","7.51094732146207"
"95","ENSG00000114374","ENSG00000183878","374.158476209711"
"96","ENSG00000114374","ENSG00000067646","268.977092797549"
"97","ENSG00000114374","ENSG00000067048","218.001449073694"
"98","ENSG00000114374","ENSG00000198692","82.7481054283673"
"99","ENSG00000114374","ENSG00000012817","69.9274583111463"
"100","ENSG00000115267","ENSG00000196116","13.237183531577"
"101","ENSG00000115267","ENSG00000138496","7.20843719513669"
"102","ENSG00000115267","ENSG00000134321","3.62083166393148"
"103","ENSG00000115415","ENSG00000162654","15.1853117966063"
"104","ENSG00000115415","ENSG00000163840","14.2748167280387"
"105","ENSG00000115415","ENSG00000138496","8.1091465173099"
"106","ENSG00000116191","ENSG00000164330","81.4128468323656"
"107","ENSG00000116663","ENSG00000068079","15.6455027653429"
"108","ENSG00000117228","ENSG00000162654","6.63671224082029"
"109","ENSG00000118113","ENSG00000102837","13.7261763480337"
"110","ENSG00000119535","ENSG00000125505","26.0062923768727"
"111","ENSG00000119917","ENSG00000133106","19.4176578852478"
"112","ENSG00000119917","ENSG00000137959","16.2543697056573"
"113","ENSG00000119917","ENSG00000135114","10.5504511189392"
"114","ENSG00000119917","ENSG00000138646","7.04701904409058"
"115","ENSG00000119917","ENSG00000138496","5.76763316460969"
"116","ENSG00000119922","ENSG00000185745","30.4321590140733"
"117","ENSG00000119922","ENSG00000134321","17.3748783830505"
"118","ENSG00000119922","ENSG00000138496","2.62825994531537"
"119","ENSG00000119922","ENSG00000138646","1.62469341372352"
"120","ENSG00000120278","ENSG00000153064","21.5668184573416"
"121","ENSG00000120278","ENSG00000132704","15.3301617479997"
"122","ENSG00000120709","ENSG00000148841","11.8124744970628"
"123","ENSG00000122435","ENSG00000145439","60.6962276183036"
"124","ENSG00000122435","ENSG00000161048","20.1978799851351"
"125","ENSG00000122482","ENSG00000163714","9.00421684708203"
"126","ENSG00000123384","ENSG00000198951","23.7422503414931"
"127","ENSG00000125505","ENSG00000119535","26.0062923768727"
"128","ENSG00000125538","ENSG00000011422","38.8593739757338"
"129","ENSG00000126353","ENSG00000186854","24.5937132997752"
"130","ENSG00000126353","ENSG00000138795","14.7406652495246"
"131","ENSG00000126353","ENSG00000162894","13.6792321208637"
"132","ENSG00000126353","ENSG00000167106","4.34429368437566"
"133","ENSG00000126709","ENSG00000187608","23.0315214097553"
"134","ENSG00000126709","ENSG00000111335","12.5004814302386"
"135","ENSG00000126709","ENSG00000111331","10.3477600362609"
"136","ENSG00000126709","ENSG00000135114","9.90773008650121"
"137","ENSG00000126709","ENSG00000138496","9.51824352599701"
"138","ENSG00000126759","ENSG00000133246","33.4995817447417"
"139","ENSG00000126787","ENSG00000131747","3.27997367039089"
"140","ENSG00000126787","ENSG00000169679","1.63368070025971"
"141","ENSG00000128218","ENSG00000137101","14.0044480075667"
"142","ENSG00000128218","ENSG00000007312","10.4042131116191"
"143","ENSG00000128218","ENSG00000269404","1.81486584071684"
"144","ENSG00000129824","ENSG00000183878","240.525625882006"
"145","ENSG00000129824","ENSG00000067646","204.617883758581"
"146","ENSG00000129824","ENSG00000067048","15.8650983259727"
"147","ENSG00000129824","ENSG00000114374","2.88066163901077"
"148","ENSG00000131747","ENSG00000126787","3.27997367039089"
"149","ENSG00000132109","ENSG00000135148","14.0634926734307"
"150","ENSG00000132185","ENSG00000137101","23.6528381484217"
"151","ENSG00000132185","ENSG00000095585","8.43955333240436"
"152","ENSG00000132185","ENSG00000012124","8.05827805575777"
