"","Gene 1","Gene 2","T-value"
"93","ENSG00000115415","ENSG00000133106","2.17715825755324"
"94","ENSG00000116191","ENSG00000153064","23.5711242748566"
"95","ENSG00000116191","ENSG00000156738","8.58473147037964"
"96","ENSG00000116191","ENSG00000165209","4.8629123052075"
"97","ENSG00000116752","ENSG00000067334","2.13570691231151"
"98","ENSG00000117228","ENSG00000115415","68.0143556332349"
"99","ENSG00000117228","ENSG00000138496","11.0948901975923"
"100","ENSG00000117984","ENSG00000126759","24.1270498116616"
"101","ENSG00000118113","ENSG00000124469","12.8913174935897"
"102","ENSG00000119535","ENSG00000151948","23.739414327643"
"103","ENSG00000119535","ENSG00000166900","19.1367553982176"
"104","ENSG00000119535","ENSG00000101236","7.05557024954016"
"105","ENSG00000119917","ENSG00000185745","17.8776044986651"
"106","ENSG00000119917","ENSG00000119922","10.8125022617669"
"107","ENSG00000119922","ENSG00000119917","10.8125022617669"
"108","ENSG00000120885","ENSG00000161911","6.92901594968102"
"109","ENSG00000123384","ENSG00000010327","2.45371476730832"
"110","ENSG00000123405","ENSG00000198736","23.7106983820473"
"111","ENSG00000124469","ENSG00000086548","18.965326136925"
"112","ENSG00000124469","ENSG00000118113","12.8913174935897"
"113","ENSG00000124469","ENSG00000164821","8.38642330732229"
"114","ENSG00000125505","ENSG00000170892","22.0353886298511"
"115","ENSG00000125505","ENSG00000135636","10.0164612495218"
"116","ENSG00000126709","ENSG00000133106","16.2935353795382"
"117","ENSG00000126709","ENSG00000134326","4.3134176718595"
"118","ENSG00000126759","ENSG00000117984","24.1270498116616"
"119","ENSG00000127920","ENSG00000198478","2.29599042073012"
"120","ENSG00000128218","ENSG00000100721","8.06953725798606"
"121","ENSG00000128218","ENSG00000132185","5.66235047670411"
"122","ENSG00000128218","ENSG00000177455","3.51941625640728"
"123","ENSG00000129824","ENSG00000012817","115.886625470947"
"124","ENSG00000129824","ENSG00000099725","62.3284142512966"
"125","ENSG00000129824","ENSG00000198692","15.0703019910073"
"126","ENSG00000132185","ENSG00000153064","12.5499986369793"
"127","ENSG00000132185","ENSG00000156738","10.7868868391886"
"128","ENSG00000132185","ENSG00000007312","7.33393673900932"
"129","ENSG00000132185","ENSG00000128218","5.66235047670411"
"130","ENSG00000132185","ENSG00000177455","5.57718979886502"
"131","ENSG00000132465","ENSG00000048462","11.3368417327047"
"132","ENSG00000132704","ENSG00000153064","26.7857808911325"
"133","ENSG00000132704","ENSG00000082438","25.7362762755272"
"134","ENSG00000132704","ENSG00000156738","3.79843458629161"
"135","ENSG00000132704","ENSG00000137101","1.59046224259359"
"136","ENSG00000133106","ENSG00000126709","16.2935353795382"
"137","ENSG00000133106","ENSG00000115267","11.7718605338447"
"138","ENSG00000133106","ENSG00000157601","9.9196419077316"
"139","ENSG00000133106","ENSG00000134321","7.33124388396276"
"140","ENSG00000133106","ENSG00000137959","4.0847731229871"
"141","ENSG00000133742","ENSG00000169877","23.1417024940235"
"142","ENSG00000134321","ENSG00000185745","23.3184203441322"
"143","ENSG00000134321","ENSG00000157601","19.0439339673045"
"144","ENSG00000134321","ENSG00000137965","11.4336925427668"
"145","ENSG00000134321","ENSG00000133106","7.33124388396276"
"146","ENSG00000134321","ENSG00000137959","5.77678347344969"
"147","ENSG00000134326","ENSG00000111331","22.4126927855777"
"148","ENSG00000134326","ENSG00000185507","8.86397015731497"
"149","ENSG00000134326","ENSG00000111335","6.29877986425786"
"150","ENSG00000134326","ENSG00000126709","4.3134176718595"
"151","ENSG00000134326","ENSG00000157601","3.39432768239452"
"152","ENSG00000135636","ENSG00000125505","10.0164612495218"
"153","ENSG00000137101","ENSG00000132704","1.59046224259359"
"154","ENSG00000137198","ENSG00000162722","17.4186430176142"
"155","ENSG00000137198","ENSG00000145335","15.11778065628"
"156","ENSG00000137441","ENSG00000150687","122.63843693871"
"157","ENSG00000137441","ENSG00000069702","20.3650961459459"
"158","ENSG00000137441","ENSG00000100450","15.1119649960297"
"159","ENSG00000137486","ENSG00000198951","4.37935786048086"
"160","ENSG00000137628","ENSG00000138642","28.4474831763722"
"161","ENSG00000137959","ENSG00000137965","41.8755049072098"
"162","ENSG00000137959","ENSG00000157601","17.8157809605967"
"163","ENSG00000137959","ENSG00000055332","6.72237779038984"
"164","ENSG00000137959","ENSG00000170581","6.12694243835782"
"165","ENSG00000137959","ENSG00000134321","5.77678347344969"
"166","ENSG00000137965","ENSG00000137959","41.8755049072098"
"167","ENSG00000137965","ENSG00000134321","11.4336925427668"
"168","ENSG00000137965","ENSG00000157601","4.81245960432308"
"169","ENSG00000137965","ENSG00000138646","3.34655108373876"
"170","ENSG00000137965","ENSG00000133106","2.60506189122002"
"171","ENSG00000138496","ENSG00000117228","11.0948901975923"
"172","ENSG00000138496","ENSG00000177409","8.38225435219648"
"173","ENSG00000138642","ENSG00000137628","28.4474831763722"
"174","ENSG00000138646","ENSG00000157601","7.50973444455185"
"175","ENSG00000138646","ENSG00000137965","3.34655108373876"
"176","ENSG00000138795","ENSG00000150907","45.8545104711686"
"177","ENSG00000138795","ENSG00000184613","8.08254529027707"
"178","ENSG00000138795","ENSG00000186854","5.83506621472538"
"179","ENSG00000142405","ENSG00000177156","20.3468654015677"
"180","ENSG00000143416","ENSG00000158578","18.7689537956821"
"181","ENSG00000143416","ENSG00000169877","8.71521539717716"
"182","ENSG00000144218","ENSG00000012124","6.35699101269516"
"183","ENSG00000144677","ENSG00000161911","5.24222311069395"
"184","ENSG00000145335","ENSG00000162722","23.2057371395252"
"185","ENSG00000145335","ENSG00000137198","15.11778065628"
"186","ENSG00000148346","ENSG00000164047","10.820874059796"
"187","ENSG00000150337","ENSG00000198019","5.16037670862159"
"188","ENSG00000150540","ENSG00000110077","12.1917043222932"
"189","ENSG00000150687","ENSG00000137441","122.63843693871"
"190","ENSG00000150907","ENSG00000138795","45.8545104711686"
"191","ENSG00000151726","ENSG00000105835","22.8686618837805"
"192","ENSG00000151726","ENSG00000059728","10.7037720462756"
"193","ENSG00000151948","ENSG00000119535","23.739414327643"
"194","ENSG00000153064","ENSG00000156738","147.660427885635"
"195","ENSG00000153064","ENSG00000132704","26.7857808911325"
"196","ENSG00000153064","ENSG00000116191","23.5711242748566"
"197","ENSG00000153064","ENSG00000132185","12.5499986369793"
"198","ENSG00000153064","ENSG00000082438","10.8788050349568"
"199","ENSG00000154146","ENSG00000101335","79.7217756329117"
"200","ENSG00000154451","ENSG00000162645","39.0170340040679"
"201","ENSG00000156587","ENSG00000068079","10.7977682726763"
"202","ENSG00000156738","ENSG00000153064","147.660427885635"
"203","ENSG00000156738","ENSG00000132185","10.7868868391886"
"204","ENSG00000156738","ENSG00000116191","8.58473147037964"
"205","ENSG00000156738","ENSG00000132704","3.79843458629161"
"206","ENSG00000157601","ENSG00000185745","25.9655284319076"
"207","ENSG00000157601","ENSG00000134321","19.0439339673045"
"208","ENSG00000157601","ENSG00000111335","18.4038252640458"
"209","ENSG00000157601","ENSG00000137959","17.8157809605967"
"210","ENSG00000157601","ENSG00000133106","9.9196419077316"
"211","ENSG00000158578","ENSG00000143416","18.7689537956821"
"212","ENSG00000158578","ENSG00000004939","14.0146573694809"
"213","ENSG00000158578","ENSG00000166947","3.71345131456985"
"214","ENSG00000161911","ENSG00000095303","31.0819342595046"
"215","ENSG00000161911","ENSG00000085733","14.9368608826454"
"216","ENSG00000161911","ENSG00000120885","6.92901594968102"
"217","ENSG00000161911","ENSG00000144677","5.24222311069395"
"218","ENSG00000161911","ENSG00000113140","2.61873968037902"
"219","ENSG00000162645","ENSG00000154451","39.0170340040679"
"220","ENSG00000162722","ENSG00000145335","23.2057371395252"
"221","ENSG00000162722","ENSG00000137198","17.4186430176142"
"222","ENSG00000162894","ENSG00000112182","63.3770434976042"
"223","ENSG00000163464","ENSG00000180871","5.96157769972851"
"224","ENSG00000163534","ENSG00000091972","53.0350539403624"
"225","ENSG00000163534","ENSG00000164330","12.8061334881015"
"226","ENSG00000164047","ENSG00000148346","10.820874059796"
"227","ENSG00000164047","ENSG00000012223","1.68785823902614"
"228","ENSG00000164181","ENSG00000101162","19.6305306541016"
"229","ENSG00000164330","ENSG00000163534","12.8061334881015"
"230","ENSG00000164330","ENSG00000153064","4.13409787745169"
"231","ENSG00000164821","ENSG00000086548","25.1058826955254"
"232","ENSG00000164821","ENSG00000124469","8.38642330732229"
"233","ENSG00000164821","ENSG00000005381","3.60425796816775"
